setid,Mole fraction of trichloromethane,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qRGjI,0,101,298.15,1182.2,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.1079,101,298.15,1198.7,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.2033,101,298.15,1214.5,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.3071,101,298.15,1234.1,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.4018,101,298.15,1257.1,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.5052,101,298.15,1283.9,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.6091,101,298.15,1316.8,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.7028,101,298.15,1348.7,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.7825,101,298.15,1380.2,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
qRGjI,0.8491,101,298.15,1408.1,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
