setid,"MolaLity of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VAwFe,0.004826,298.15,100,1125.15,Papovi et al. (2017),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAbRRZ,CCCCC1CCC(=O)O1,.gamma.-octanolactone,,,
VAwFe,0.09997,298.15,100,1136.17,Papovi et al. (2017),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AAbRRZ,CCCCC1CCC(=O)O1,.gamma.-octanolactone,,,
