setid,Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-methylpropan-2-ol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xJuxh,0.0499,0.3508,101,298,794.24,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.0499,0.6511,101,298,810.15,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.0499,0.8001,101,298,816.55,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.0502,0.05,101,298,774.36,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.0517,0.8965,101,298,821.39,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.0996,0.6496,101,298,850.02,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.1001,0.3494,101,298,838.4,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.101,0.0508,101,298,823.94,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.1039,0.7929,101,298,857.54,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.1987,0.3545,101,298,908.59,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.1991,0.0525,101,298,900.09,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.2008,0.6483,101,298,915.75,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.2967,0.0529,101,298,957.63,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.2981,0.3529,101,298,962.53,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.3004,0.6551,101,298,965.65,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.3962,0.055,101,298,1003.35,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.4022,0.251,101,298,1006.42,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.4054,0.4492,101,298,1007.58,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.5,0.0483,101,298,1040.87,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.5012,0.4496,101,298,1039.13,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.6037,0.0474,101,298,1070.71,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.622,0.3596,101,298,1072.25,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.627,0.3138,101,298,1073.91,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.693,0.0508,101,298,1091.79,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.6957,0.1555,101,298,1091.17,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.7107,0.247,101,298,1093.33,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.7239,0.1042,101,298,1097.68,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.776,0.0572,101,298,1108.5,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.8016,0.1487,101,298,1112.14,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
xJuxh,0.8792,0.05,101,298,1126.62,Kermanpour et al. (2013),Density,Liquid,AAONJg,CC(C)(C)O,2-methylpropan-2-ol,AALTAi,CCCN,propan-1-amine,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
