setid,Mole fraction of methylcyclohexane,Mole fraction of ethylbenzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sXBLi,0,0.189,298.15,101,1174.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.004,0.167,298.15,101,1179.7,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.009,0.151,298.15,101,1182.7,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.009,0.159,298.15,101,1181.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.01,0.123,298.15,101,1187.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.012,0.081,298.15,101,1195.1,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.013,0.09,298.15,101,1193.5,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.016,0.059,298.15,101,1199.1,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.02,0.038,298.15,101,1202.6,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.021,0.039,298.15,101,1202.4,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
sXBLi,0.028,0,298.15,101,1207.3,Dominguez et al. (2013),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
