setid,"Temperature, K","MolaLity of benzyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vmMvs,293.15,0,101,998.24,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.0496,101,998.568,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.0994,101,998.932,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.1483,101,999.312,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.1964,101,999.716,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.2452,101,1000.14,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.2935,101,1000.57,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.3425,101,1001.02,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.3907,101,1001.47,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,293.15,0.4904,101,1002.41,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0,101,995.681,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.0496,101,995.905,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.0994,101,996.155,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.1483,101,996.425,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.1964,101,996.714,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.2452,101,997.021,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.2935,101,997.337,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.3425,101,997.666,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.3907,101,998.002,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,303.15,0.4904,101,998.688,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0,101,992.248,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.0496,101,992.38,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.0994,101,992.53,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.1483,101,992.703,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.1964,101,992.894,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.2452,101,993.099,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.2935,101,993.317,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.3425,101,993.543,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.3907,101,993.777,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,313.15,0.4904,101,994.262,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0,101,988.07,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.0496,101,988.115,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.0994,101,988.18,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.1483,101,988.265,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
vmMvs,323.15,0.1964,101,988.371,Duman and Ayranci (2009),Density,Liquid,AADYJk,O,water,ABHzIS,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Cl-],benzyltributylammonium chloride,,,
