setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium propanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ADZlN,288.15,0.0115,101,999.24,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.0277,101,999.4,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.0547,101,999.7,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.1112,101,1000.39,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.1673,101,1001.12,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.2789,101,1002.65,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.335,101,1003.41,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.391,101,1004.17,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,288.15,0.4475,101,1004.99,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.0115,101,998.33,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.0277,101,998.48,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.0547,101,998.75,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.1112,101,999.38,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.1673,101,1000.06,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.2789,101,1001.52,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.335,101,1002.29,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.391,101,1003.05,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,293.15,0.4475,101,1003.79,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.0115,101,995.75,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.0277,101,995.88,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.0547,101,996.11,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.1112,101,996.66,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.1673,101,997.24,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.2789,101,998.48,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.335,101,999.07,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.391,101,999.69,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,303.15,0.4475,101,1000.38,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.0115,101,994.13,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.0277,101,994.25,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.0547,101,994.46,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.1112,101,994.95,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.1673,101,995.48,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.2789,101,996.63,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.335,101,997.24,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.391,101,997.82,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,308.15,0.4475,101,998.46,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.0115,101,992.3,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.0277,101,992.41,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.0547,101,992.61,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.1112,101,993.07,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.1673,101,993.59,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.2789,101,994.66,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.335,101,995.22,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.391,101,995.78,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,313.15,0.4475,101,996.4,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.0115,101,990.31,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.0277,101,990.41,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.0547,101,990.61,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.1112,101,991.05,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.1673,101,991.52,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.2789,101,992.55,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.335,101,993.1,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.391,101,993.63,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
ADZlN,318.15,0.4475,101,994.19,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
