setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of hexan-1-ol, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oLDWO,0.05,0,298.15,101,999.078,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0,308.15,101,995.942,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.01,298.15,101,998.897,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.01,308.15,101,995.758,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.02,298.15,101,998.713,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.02,308.15,101,995.57,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.03,298.15,101,998.529,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.03,308.15,101,995.378,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.043,298.15,101,998.287,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.043,308.15,101,995.125,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.045,298.15,101,998.25,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.045,308.15,101,995.086,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.06,298.15,101,997.967,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.06,308.15,101,994.786,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
oLDWO,0.05,0.07,298.15,101,997.78,Dubey (2010),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
