setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lpEaj,293.15,0.04989,100,787.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,293.15,0.10143,100,793.3,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,293.15,0.14971,100,798.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,293.15,0.19946,100,803.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,293.15,0.24989,100,809.2,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,293.15,0.29867,100,814.4,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,293.15,0.35041,100,820,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,293.15,0.39798,100,825.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.04989,100,782.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.10143,100,788.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.14971,100,793.4,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.19946,100,798.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.24989,100,804.3,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.29867,100,809.7,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.35041,100,815.3,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,298.15,0.39798,100,820.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.04989,100,777.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.10143,100,782.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.14971,100,788.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.19946,100,793.6,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.24989,100,799.2,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.29867,100,804.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.35041,100,810.3,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,303.15,0.39798,100,815.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.04989,100,771.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.10143,100,777.5,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.14971,100,782.8,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.19946,100,788.4,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.24989,100,794,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.29867,100,799.4,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.35041,100,805.1,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
lpEaj,308.15,0.39798,100,810.4,Brahma and Gardas (2022),Density,Liquid,AAznGE,CCCC[N+]1(C)CCCC1.[I-],1-butyl-1-methylpyrrolidinium iodide,AAHueB,CC#N,acetonitrile,,,
