setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of N-methylpyrrolidone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mnJEG,293.15,0.0979,0.6597,100,1052.2,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.1114,0.6244,100,1055.7,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.1277,0.5912,100,1061.1,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.1458,0.5577,100,1067.8,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.1658,0.5244,100,1076,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.1831,0.4983,100,1083.4,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.2039,0.4499,100,1090.7,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.2242,0.4251,100,1099.1,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.2397,0.4077,100,1105.1,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.2472,0.3999,100,1107.9,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.2667,0.3807,100,1114.8,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.2932,0.3572,100,1123.2,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.3198,0.3361,100,1130.6,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
mnJEG,293.15,0.3419,0.3201,100,1136.4,Sharma et al. (2015a),Density,Liquid,AAStxH,O=C1CCCCC1,cyclohexanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
