setid,Weight fraction of 1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ijbyL,0,278.15,101,798.2,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0,288.15,101,787.3,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0,298.15,101,776.7,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0,308.15,101,765.7,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0,318.15,101,754.7,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0,328.15,101,743.4,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.25,278.15,101,901.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.25,288.15,101,890.8,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.25,298.15,101,880,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.25,308.15,101,869.2,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.25,318.15,101,858.2,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.25,328.15,101,847,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.5,278.15,101,1032,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.5,288.15,101,1021.4,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.5,298.15,101,1010.7,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.5,308.15,101,1000,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.5,318.15,101,989.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.5,328.15,101,978.6,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.75,278.15,101,1206.8,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.75,288.15,101,1196.6,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.75,298.15,101,1186.4,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.75,308.15,101,1176.2,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.75,318.15,101,1166,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,0.75,328.15,101,1155.7,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,278.15,101,1445.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,288.15,101,1436.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,298.15,101,1427.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,308.15,101,1418.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,318.15,101,1409.6,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,328.15,101,1400.7,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,338.15,101,1391.9,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,348.15,101,1382.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
ijbyL,1,358.15,101,1374.5,Garca-Garabal et al. (2022),Density,Liquid,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAHueB,CC#N,acetonitrile,,,
