setid,"MolaLity of butyltriethyl ammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GADyu,0.00913,101,298.15,0.321,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
GADyu,0.01047,101,298.15,0.369,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
GADyu,0.01462,101,298.15,0.509,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
GADyu,0.02085,101,298.15,0.724,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
GADyu,0.0238,101,298.15,0.826,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
GADyu,0.029,101,298.15,1.0041,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
GADyu,0.03496,101,298.15,1.2051,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
GADyu,0.04062,101,298.15,1.4016,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAtqNS,CCCC[N+](CC)(CC)CC.[Br-],butyltriethyl ammonium bromide,,,
