setid,"Temperature, K",Mole fraction of tetrabutylammonium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kMHFN,293.15,0.167,101,1040,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,293.15,0.2,101,1029,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,293.15,0.25,101,1014,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,303.15,0.167,101,1034,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,303.15,0.2,101,1023,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,303.15,0.25,101,1008,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,313.15,0.167,101,1027,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,313.15,0.2,101,1017,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,313.15,0.25,101,1001,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,323.15,0.167,101,1020,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,323.15,0.2,101,1010,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,323.15,0.25,101,995,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,333.15,0.167,101,1014,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,333.15,0.2,101,1004,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,333.15,0.25,101,988,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,343.15,0.167,101,1007,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,343.15,0.2,101,997,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,343.15,0.25,101,982,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,353.15,0.167,101,1000,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,353.15,0.2,101,991,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
kMHFN,353.15,0.25,101,976,Mjalli et al. (2014b),Density,Liquid,AARkmK,OCC(O)CO,glycerol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
