setid,"Temperature, K","Mole ratio to solvent: 1,2-dimethoxyethane","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jTznh,298.1,1,100,1510,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,298.1,2,100,1300,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,298.1,3,100,1200,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,1,100,1480,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,2,100,1280,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,3,100,1190,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,4,100,1140,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,5,100,1100,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,6,100,1060,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,8,100,1020,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,10,100,990,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,15,100,950,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,20,100,930,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,30,100,910,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
jTznh,301.1,40,100,890,Geysens et al. (2018),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,AARRYu,COCCOC,"1,2-dimethoxyethane",,,
