setid,"Temperature, K","MolaLity of 1-(2-hydroxylethyl)-3-propylimidazolium chloride, mol/kg","MolaLity of 1-carboxymethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TzrEy,293.15,0.025,0.0751,101,1003.01,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,0.0501,0.0501,101,1002.33,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,0.0751,0.0251,101,1001.64,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,0.2505,0.7514,101,1040.02,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,0.5009,0.5009,101,1034.5,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,0.75,2.25,101,1098.37,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,0.7513,0.2505,101,1029.03,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,1.5,4.5004,101,1151.98,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,1.5002,1.5004,101,1085.37,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,2.2509,0.7503,101,1072.59,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,3,3.0006,101,1131.33,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
TzrEy,293.15,4.5005,1.5002,101,1111.76,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAkiTg,CCCn1cc[n+](CCO)c1.[Cl-],1-(2-hydroxylethyl)-3-propylimidazolium chloride
