setid,Mole fraction of pentan-2-ol,Mole fraction of hexane,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iTocf,0.2793,0.2304,303.15,100,1055.4,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.2799,0.71,303.15,100,721.3,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.3301,0.6398,303.15,100,750.4,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.3599,0.2801,303.15,100,995.1,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.3701,0.5999,303.15,100,763.4,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.4002,0.3193,303.15,100,952.1,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.4064,0.5263,303.15,100,802.5,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.4101,0.3,303.15,100,966,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.4198,0.3533,303.15,100,921.4,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.4199,0.4499,303.15,100,853.2,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.4291,0.3825,303.15,100,897.1,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
iTocf,0.44,0.5,303.15,100,806.7,Montalban et al. (2018b),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAQxVB,CCCC(C)O,pentan-2-ol,AAQdzy,CCCCCC,hexane
