setid,"Temperature, K","Pressure, kPa",Mole ratio to solvent: 4-oxopentanoic acid,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jqKjz,293.15,101.325,2,1155,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,298.15,101.325,2,1151,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,303.15,101.325,2,1148,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,308.15,101.325,2,1144,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,313.15,101.325,2,1141,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,318.15,101.325,2,1138,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,323.15,101.325,2,1134,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,328.15,101.325,2,1131,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,333.15,101.325,2,1128,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,338.15,101.325,2,1125,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,343.15,101.325,2,1121,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,348.15,101.325,2,1118,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
jqKjz,353.15,101.325,2,1115,Gouveia et al. (2016b),Density,Liquid,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,,,
