setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa",Solvent: Mole ratio of acetic acid to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZEUSB,293.15,0,100,2,1096.4,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.1,100,2,1096.9,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.2,100,2,1094.2,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.3,100,2,1089.9,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.4,100,2,1086.7,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.5,100,2,1081.6,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.6,100,2,1082.4,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.7,100,2,1074.9,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.8,100,2,1069,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ZEUSB,293.15,0.9,100,2,1064.1,Christabel et al. (2020),Density,Liquid,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AALcAl,CC(=O)O,acetic acid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
