setid,Mole fraction of 3-hexyl-1-methylimidazolium acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OkdSg,0,303.15,96.7,938.4,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0,308.15,96.7,934,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0,313.15,96.7,928.9,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0,318.15,96.7,924.1,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0,323.15,96.7,919.3,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0,328.15,96.7,914.5,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0,333.15,96.7,909.6,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0,338.15,96.7,904.8,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0.054,303.15,96.7,953.8,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
OkdSg,0.054,308.15,96.7,949.3,Yang and Feng (2020),Density,Liquid,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,AAOCWD,CN(C)C=O,dimethylformamide,,,
