setid,"Temperature, K","Pressure, kPa",Mole fraction of gallium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DnrRk,288.15,101,0.5,1478.8,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,288.15,101,0.5,1483.1,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,298.15,101,0.5,1474.5,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,303.15,101,0.5,1470.5,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,308.15,101,0.5,1467.1,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,313.15,101,0.5,1462.9,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,318.15,101,0.5,1458.2,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,323.15,101,0.5,1454.1,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,328.15,101,0.5,1449.2,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,333.15,101,0.5,1445.1,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,338.15,101,0.5,1441.3,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
DnrRk,343.15,101,0.5,1435.8,Yang et al. (2006a),Density,Liquid,AAhsJM,Cl[Ga](Cl)Cl,gallium chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
