setid,"Temperature, K",Weight fraction of dodecane,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QhvTp,293.15,0.1,101,885.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,293.15,0.2,101,868.8,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,298.15,0,101,899.8,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,298.15,0.1,101,882.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,298.15,0.2,101,865.8,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,303.15,0,101,896.9,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,303.15,0.1,101,879.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,303.15,0.2,101,862.8,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,308.15,0.1,101,876.7,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,308.15,0.2,101,859.7,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,313.15,0,101,891.1,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,313.15,0.1,101,873.8,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,313.15,0.2,101,856.7,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,318.15,0.1,101,870.9,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,318.15,0.2,101,853.7,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,323.15,0,101,886.2,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,323.15,0.1,101,868,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,323.15,0.2,101,850.7,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,328.15,0.1,101,865,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,328.15,0.2,101,847.7,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,333.15,0,101,880.2,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,333.15,0.1,101,862.1,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,333.15,0.2,101,844.7,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,338.15,0.1,101,859.2,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
QhvTp,338.15,0.2,101,841.6,Awwad et al. (2014),Density,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,AAgnKZ,CCCCCCCCCCCC,dodecane,,,
