setid,Mole fraction of water,Mole fraction of 4-oxopentanoic acid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fdjjl,0.2909,0.0765,303.15,100,1403,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.3708,0.1294,303.15,100,1385.1,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.4698,0.1834,303.15,100,1357.4,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.5492,0.2143,303.15,100,1327,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.5859,0.2218,303.15,100,1303,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.7734,0.1787,303.15,100,1188.2,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.8565,0.13,303.15,100,1114,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.9024,0.0927,303.15,100,1077.4,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.9367,0.0613,303.15,100,1052.4,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.9615,0.0374,303.15,100,1033.1,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.9818,0.0169,303.15,100,1015,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
fdjjl,0.9915,0.0077,303.15,100,1005.9,Riveiro et al. (2019),Density,Liquid,AAWRqX,CC(=O)CCC(=O)O,4-oxopentanoic acid,AADYJk,O,water,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
