setid,"Temperature, K","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Solvent: MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lMysR,288.15,0,0.1059,100,1001.8,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0,0.2999,100,1006.7,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.0673,0.1059,100,1003.8,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.0701,0.2999,100,1008.7,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.1349,0.2999,100,1010.6,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.1485,0.1059,100,1006.2,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.2368,0.1059,100,1008.9,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.2458,0.2999,100,1013.8,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.335,0.1059,100,1011.8,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.3689,0.2999,100,1017.3,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.4247,0.2999,100,1018.9,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.4351,0.1059,100,1014.8,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.5526,0.2999,100,1022.6,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.5851,0.1059,100,1019.3,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.5883,0.1059,100,1019.4,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.6414,0.2999,100,1025.2,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.7798,0.1059,100,1025.2,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.7911,0.2999,100,1029.5,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.9206,0.1059,100,1029.4,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,288.15,0.9414,0.2999,100,1033.8,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,293.15,0,0.1059,100,1000.7,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,293.15,0,0.2999,100,1005.7,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
lMysR,293.15,0.0673,0.1059,100,1002.7,Pal et al. (2015b),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride
