setid,"MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","MolaLity of L-lysine monohydrochloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UECmS,1,0,298.15,101,1004.42,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.02383,298.15,101,1005.73,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.05477,298.15,101,1007.41,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.06851,298.15,101,1008.16,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.07446,298.15,101,1008.49,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.07814,298.15,101,1008.68,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.09768,298.15,101,1009.73,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.09884,298.15,101,1009.81,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.11227,298.15,101,1010.51,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
UECmS,1,0.11474,298.15,101,1010.64,Singh et al. (2004),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAjGku,[Cl-].[NH3+]CCCC[C@H](N)C(=O)O,L-lysine monohydrochloride,AADYJk,O,water
