setid,Mole fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hWqlk,0,288.15,101,1210.18,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,293.15,101,1204.51,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,298.15,101,1199.05,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,303.15,101,1194.01,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,308.15,101,1188.57,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,313.15,101,1183.42,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,318.15,101,1177.86,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,323.15,101,1172.57,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,328.15,101,1167.39,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,333.15,101,1162.07,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,338.15,101,1156.82,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,343.15,101,1151.69,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,348.15,101,1146.24,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0,353.15,101,1140.95,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0.0999,288.15,101,1250.58,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
hWqlk,0.0999,293.15,101,1245.48,Wei et al. (2019),Density,Liquid,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,AATgdC,CC1COC(=O)O1,propylene carbonate,,,
