setid,Mole ratio to solvent: tetrapropylammonium bromide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CHKXj,0.25,293,101,1146,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.25,303.1,101,1139,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.25,313.1,101,1132,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.25,323.2,101,1125,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.25,333.3,101,1118,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.25,343.2,101,1110,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.25,353.4,101,1103,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.3333,293.2,101,1146,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.3333,303.1,101,1140,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.3333,313,101,1133,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.3333,323.2,101,1126,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.3333,333.3,101,1119,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.3333,343.3,101,1111,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.3333,353.4,101,1104,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.4,293.2,101,1147,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.4,303.2,101,1140,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.4,313.3,101,1133,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.4,323.3,101,1126,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.4,333.3,101,1119,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.4,343.3,101,1112,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
CHKXj,0.4,353.4,101,1105,Jibril et al. (2014),Density,Liquid,AActxI,OCCOCCOCCO,triethylene glycol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
