setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CQNQl,288.15,0.0295,101,1080.5,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.0622,101,1084.9,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.07,101,1086,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.0728,101,1086.3,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.0941,101,1089,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.1198,101,1092.4,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.1384,101,1094.8,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.1488,101,1096.2,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.1584,101,1097.4,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.1647,101,1098,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.2068,101,1103.3,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.2229,101,1105,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.2279,101,1105.7,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.2282,101,1105.6,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.2919,101,1113.1,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.3458,101,1119.6,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.3554,101,1120.7,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.3559,101,1120.5,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.3846,101,1123.7,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.4344,101,1129.2,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
CQNQl,288.15,0.5313,101,1139.5,Liu et al. (2020d),Density,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,AARQqy,COC(=O)OC,dimethyl carbonate,,,
