setid,"Temperature, K",Mole fraction of butan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ptGYv,283.15,0.168,101,1055.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,283.15,0.261,101,1043.9,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,283.15,0.358,101,1029.8,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,283.15,0.458,101,1012.7,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,283.15,0.57,101,989.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,283.15,0.676,101,962.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,283.15,0.754,101,938.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,283.15,0.848,101,902.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.168,101,1052.5,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.261,101,1040.6,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.358,101,1026.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.458,101,1009.2,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.57,101,986.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.676,101,959.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.754,101,935,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,288.15,0.848,101,898.7,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,293.15,0.168,101,1049.3,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,293.15,0.261,101,1037.4,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
ptGYv,293.15,0.358,101,1023.1,Mokhtarani et al. (2010),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAxZbI,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],1-methyl-3-octylimidazolium nitrate,,,
