setid,Weight fraction of lithium bis((trifluoromethyl)sulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FmKkj,0.27392,298.15,100,1160,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.27392,323.15,100,1148,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.27392,348.15,100,1131,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.27392,373.15,100,1109,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.48708,298.15,100,1325,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.48708,323.15,100,1304,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.48708,348.15,100,1282,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.48708,373.15,100,1258,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.66333,298.15,100,1493,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.66333,323.15,100,1467,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.66333,348.15,100,1440,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.66333,373.15,100,1401,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.80244,298.15,100,1654,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.80244,323.15,100,1624,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.80244,348.15,100,1598,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
FmKkj,0.80244,373.15,100,1557,Gilbert et al. (2017),Density,Liquid,AADYJk,O,water,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
