setid,Mole fraction of butan-2-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZPWCy,0,288.15,101,1287.57,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0,298.15,101,1280.81,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0,308.15,101,1273.97,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.054,288.15,101,1274.82,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.054,298.15,101,1267.9,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.054,308.15,101,1261.04,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.106,288.15,101,1261.26,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.106,298.15,101,1254.37,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.106,308.15,101,1247.52,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.204,288.15,101,1233.86,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.204,298.15,101,1226.94,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.204,308.15,101,1220.05,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.306,288.15,101,1201.1,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
ZPWCy,0.306,298.15,101,1194.21,Requejo et al. (2014),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
