setid,"MolaLity of N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NFjKO,0.0088,298.15,100,778.005,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0088,303.15,100,772.575,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0088,308.15,100,767.12,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0088,313.15,100,761.631,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0088,318.15,100,756.103,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0165,298.15,100,779.272,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0165,303.15,100,773.845,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0165,308.15,100,768.39,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0165,313.15,100,762.901,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0165,318.15,100,757.375,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
NFjKO,0.0276,298.15,100,781.074,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABgQyT,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-butyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
