setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium methyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LDZAP,298.15,0.0118,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.0314,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.0497,101,999,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.076,101,1000,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.0937,101,1001,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.154,101,1003,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.3076,101,1006,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.5023,101,1011,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.6255,101,1014,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.7024,101,1015,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,0.8838,101,1020,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
LDZAP,298.15,1.0712,101,1024,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,ABBbYw,CCCCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-hexyl-3-methylimidazolium methyl sulfate,,,
