setid,"Moles per mass of solution: tetrapropylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PeasY,0,100,298.15,936.357,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.04144,100,298.15,938.347,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.05097,100,298.15,938.808,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.05974,100,298.15,939.223,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.06869,100,298.15,939.666,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.07721,100,298.15,940.081,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.08847,100,298.15,940.61,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.10088,100,298.15,941.196,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.12019,100,298.15,942.119,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.13957,100,298.15,943.024,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.15221,100,298.15,943.656,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.17242,100,298.15,944.612,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.19711,100,298.15,945.757,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.22827,100,298.15,947.202,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
PeasY,0.25738,100,298.15,948.573,Krakowiak et al. (2001),Density,Liquid,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
