setid,"Temperature, K",Mole fraction of hexane,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QpKWp,283.15,0.007,101,1259.82,Gomez et al. (2010b),Density,Liquid,AAQdzy,CCCCCC,hexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
QpKWp,298.15,0.008,101,1249.8,Gomez et al. (2010b),Density,Liquid,AAQdzy,CCCCCC,hexane,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
