setid,Mole fraction of propylammonium acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cJdMq,0,298.15,101,997.01,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0032,298.15,101,999.07,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.005,298.15,101,999.88,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0101,298.15,101,1002.47,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0169,298.15,101,1004.98,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0258,298.15,101,1008.24,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.035,298.15,101,1011.05,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0545,298.15,101,1015.65,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0695,298.15,101,1018.25,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0918,298.15,101,1019.95,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.0959,298.15,101,1020.92,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.1151,298.15,101,1018.84,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.1499,298.15,101,1017.28,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.1802,298.15,101,1015.06,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.2115,298.15,101,1011.35,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.3001,298.15,101,1003.06,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.4494,298.15,101,990.87,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.6475,298.15,101,979.97,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,0.8424,298.15,101,972.55,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
cJdMq,1,298.15,101,966.82,Hou et al. (2013),Density,Liquid,AADYJk,O,water,AAWvmB,CC(=O)[O-].CCC[NH3+],propylammonium acetate,,,
