setid,Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of sodium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gQiJn,0,0.4718,101,298.15,1392.2,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.0507,0.3757,101,298.15,1362.7,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.1151,0.2918,101,298.15,1323.07,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.1902,0.2197,101,298.15,1289.48,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.2715,0.1646,101,298.15,1257.8,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.3567,0.1219,101,298.15,1225.26,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.442,0.0932,101,298.15,1193.31,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.5272,0.0733,101,298.15,1160.72,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.6133,0.0564,101,298.15,1126.85,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.7,0.0426,101,298.15,1103.51,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
gQiJn,0.7871,0.0312,101,298.15,1082.37,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
