setid,"Temperature, K",Mole fraction of 1-butylpyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JJjAS,288.15,0,100,807.5,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.1001,100,872.2,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.2008,100,919.1,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.3008,100,954.8,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.4009,100,982.8,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.4994,100,1005.2,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.5998,100,1024,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.6976,100,1039.9,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.7974,100,1052.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,0.903,100,1064.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,288.15,1,100,1075,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,293.15,0,100,803.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,293.15,0.1001,100,868.5,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,293.15,0.2008,100,915.6,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
JJjAS,293.15,0.3008,100,951.4,Xing et al. (2019a),Density,Liquid,AAmufZ,CCCC[n+]1ccccc1.N#C[N-]C#N,1-butylpyridinium dicyanamide,AALcLI,CCCO,propan-1-ol,,,
