setid,"Temperature, K","Pressure, kPa",Weight fraction of 2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rApgV,303.15,101,0.3006,1058.4,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAdwMT,C[NH+](CCO)CCO.[Cl-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium chloride,,,
rApgV,313.15,101,0.3006,1053.9,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAdwMT,C[NH+](CCO)CCO.[Cl-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium chloride,,,
rApgV,323.15,101,0.3006,1049.2,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAdwMT,C[NH+](CCO)CCO.[Cl-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium chloride,,,
rApgV,333.15,101,0.3006,1043.3,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAdwMT,C[NH+](CCO)CCO.[Cl-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium chloride,,,
rApgV,343.15,101,0.3006,1037.1,Zhao et al. (2010a),Density,Liquid,AADYJk,O,water,AAdwMT,C[NH+](CCO)CCO.[Cl-],2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium chloride,,,
