setid,"Temperature, K","MolaLity of 3-butyl-1-methyl-1H-imidazolium propanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FsRvX,288.15,0.0111,101,999.27,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.0278,101,999.49,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.0556,101,999.87,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.1112,101,1000.66,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.167,101,1001.47,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.2789,101,1003.1,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.3351,101,1003.93,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.3912,101,1004.75,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,288.15,0.447,101,1005.56,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.0111,101,998.36,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.0278,101,998.57,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.0556,101,998.93,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.1112,101,999.68,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.167,101,1000.46,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.2789,101,1002.03,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.3351,101,1002.84,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.3912,101,1003.62,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,293.15,0.447,101,1004.41,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.0111,101,995.78,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.0278,101,995.96,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.0556,101,996.28,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.1112,101,996.94,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.167,101,997.63,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.2789,101,999.07,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.3351,101,999.79,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.3912,101,1000.5,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
FsRvX,303.15,0.447,101,1001.23,Tong et al. (2016a),Density,Liquid,AADYJk,O,water,AAoqOm,CCC(=O)[O-].CCCCn1cc[n+](C)c1,3-butyl-1-methyl-1H-imidazolium propanoate,,,
