setid,"MolaLity of N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WRPSO,0.0379,313.15,100,766.483,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0379,318.15,100,760.976,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0526,298.15,100,785.24,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0526,303.15,100,779.815,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0526,308.15,100,774.365,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0526,313.15,100,768.876,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0526,318.15,100,763.372,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0686,298.15,100,787.81,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0686,303.15,100,782.385,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0686,308.15,100,776.944,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
