setid,"MolaLity of L-leucine, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaRity of dodecyltrimethylammonium bromide, mol/dm3","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xYqmf,0,101,298.15,0.1,998.581,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.009718,101,298.15,0.1,998.818,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.011553,101,298.15,0.1,998.86,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.019738,101,298.15,0.1,999.056,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.025322,101,298.15,0.1,999.191,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.029529,101,298.15,0.1,999.294,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.035362,101,298.15,0.1,999.425,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.037118,101,298.15,0.1,999.464,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.039769,101,298.15,0.1,999.529,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
xYqmf,0.051242,101,298.15,0.1,999.783,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
