setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of hexan-1-ol, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DiAGK,0.03103,101,298,0.02,0.434,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.04785,101,298,0.02,0.669,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.06151,101,298,0.02,0.848,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.06321,101,298,0.02,0.88,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.08706,101,298,0.02,1.177,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.1042,101,298,0.02,1.417,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.143,101,298,0.02,1.917,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.1594,101,298,0.02,2.129,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.1699,101,298,0.02,2.286,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.1831,101,298,0.02,2.421,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.204,101,298,0.02,2.692,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.2082,101,298,0.02,2.73,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
DiAGK,0.2202,101,298,0.02,2.882,De Lisi et al. (1990c),Density,Liquid,AAThYT,CCCCCCO,hexan-1-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
