setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
khPIR,293.15,0,101,1049.75,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.0488,101,1087.32,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.1027,101,1115.29,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.1943,101,1146.54,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.299,101,1170.99,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.4025,101,1189.02,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.5263,101,1205.43,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.5969,101,1212.9,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.692,101,1221.44,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
khPIR,293.15,0.8007,101,1229.23,Singh et al. (2014c),Density,Liquid,AALcAl,CC(=O)O,acetic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
