setid,Mole fraction of methanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TOJmi,0.11,298.15,101,1112.3,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.11,303.15,101,1108.7,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.11,315.15,101,1101.9,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.307,298.15,101,1102.2,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.307,303.15,101,1098.6,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.307,315.15,101,1091.8,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.447,298.15,101,1091,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.447,303.15,101,1087.4,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.447,315.15,101,1080.5,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
TOJmi,0.608,298.15,101,1070.9,Bhujrajh and Deenadayalu (2007),Density,Liquid,AAGIBL,CO,methanol,ABXtCT,CCCCCCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],1-methyl-3-octylimidazolium 2-(2-methoxyethoxy)ethyl sulfate,,,
