setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NOKAu,293.15,0.1033,0.4497,100,937,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.2025,0.3985,100,954,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.3039,0.3491,100,973,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.402,0.304,100,992,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.5051,0.2429,100,1015,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.6056,0.1954,100,1041,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.7013,0.1487,100,1067,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.8026,0.0994,100,1089,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,293.15,0.9033,0.0487,100,1108,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
NOKAu,298.15,0.1033,0.4497,100,933,Normazlan et al. (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
