setid,"MolaLity of methyltributylammonium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JQjro,0.02,293.15,100,999.96,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.02,298.15,100,998.52,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.02,303.15,100,997.24,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.02,308.15,100,995.74,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.02,313.15,100,993.69,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.039,293.15,100,1000.48,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.039,298.15,100,999.75,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.039,303.15,100,998.74,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.039,308.15,100,996.88,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.039,313.15,100,995.1,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.059,293.15,100,1001.67,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.059,298.15,100,1000.72,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.059,303.15,100,999.59,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.059,308.15,100,997.36,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.059,313.15,100,996.56,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.079,293.15,100,1002.37,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.079,298.15,100,1001.77,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.079,303.15,100,1000.99,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.079,308.15,100,999.12,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
JQjro,0.079,313.15,100,998.23,Sharma et al. (2022c),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
