setid,"MolaRity of tetrabutylammonium hydrogen sulfate, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Gcfhs,0.01,303.15,101,996.6,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.015,303.15,101,996.8,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.02,303.15,101,997.1,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.03,303.15,101,997.6,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.04,303.15,101,998.2,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.05,303.15,101,998.9,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.06,303.15,101,999.4,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.07,303.15,101,1000,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.08,303.15,101,1000.6,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.09,303.15,101,1001.2,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
Gcfhs,0.1,303.15,101,1001.7,Jain et al. (2013),Density,Liquid,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate,,,
