setid,"Temperature, K","MolaRity of tetrapropylammonium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HRCaP,308.15,0.01008,101,918.38,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,308.15,0.02016,101,919.35,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,308.15,0.03024,101,920.32,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,308.15,0.04032,101,921.3,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,308.15,0.0504,101,922.26,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,308.15,0.06048,101,923.23,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,313.15,0.01004,101,914.73,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,313.15,0.02008,101,915.75,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,313.15,0.03012,101,916.75,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
HRCaP,313.15,0.04016,101,917.75,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
