setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rCcai,0,0,298.15,99.7,997.05,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0,0.1,298.15,99.7,1000.22,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0,0.15,298.15,99.7,1001.78,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0,0.2,298.15,99.7,1003.34,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0,0.25,298.15,99.7,1004.88,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0,0.3,298.15,99.7,1006.42,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0,0.35,298.15,99.7,1007.94,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.15,0,298.15,99.7,1003.87,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.15,0.1,298.15,99.7,1006.9,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.15,0.15,298.15,99.7,1008.39,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.15,0.2,298.15,99.7,1009.88,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.15,0.25,298.15,99.7,1011.35,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.15,0.3,298.15,99.7,1012.82,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.15,0.35,298.15,99.7,1014.28,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.3,0,298.15,99.7,1010.37,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.3,0.1,298.15,99.7,1013.28,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.3,0.15,298.15,99.7,1014.71,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.3,0.2,298.15,99.7,1016.13,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.3,0.25,298.15,99.7,1017.54,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.3,0.3,298.15,99.7,1018.94,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.3,0.35,298.15,99.7,1020.33,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.45,0,298.15,99.7,1016.58,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.45,0.1,298.15,99.7,1019.38,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.45,0.15,298.15,99.7,1020.75,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.45,0.2,298.15,99.7,1022.12,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.45,0.25,298.15,99.7,1023.47,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.45,0.3,298.15,99.7,1024.81,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.45,0.35,298.15,99.7,1026.13,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.6,0,298.15,99.7,1022.49,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.6,0.1,298.15,99.7,1025.18,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.6,0.15,298.15,99.7,1026.5,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.6,0.2,298.15,99.7,1027.79,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.6,0.25,298.15,99.7,1029.09,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.6,0.3,298.15,99.7,1030.37,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.6,0.35,298.15,99.7,1031.65,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.7,0,298.15,99.7,1026.26,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.7,0.1,298.15,99.7,1028.89,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.7,0.15,298.15,99.7,1030.16,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
rCcai,0.7,0.2,298.15,99.7,1031.43,Zhao et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
