setid,"MolaLity of tetrapropylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bSNhE,0.01,298.15,101,0.78,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
bSNhE,0.02188,298.15,101,1.684,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
bSNhE,0.02906,298.15,101,2.231,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
bSNhE,0.05477,298.15,101,4.146,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
bSNhE,0.07618,298.15,101,5.715,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
bSNhE,0.08694,298.15,101,6.5,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
bSNhE,0.11645,298.15,101,8.62,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
bSNhE,0.14935,298.15,101,10.944,Zana et al. (1979),Density,Liquid,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AAHueB,CC#N,acetonitrile,,,
