setid,"Temperature, K","Pressure, kPa","Mole ratio to solvent: 1,2-ethanediol","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FDtEC,283.15,101,2,1148.7,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,288.15,101,2,1145.6,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,293.15,101,2,1142.6,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,298.15,101,2,1139.5,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,303.15,101,2,1136.5,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,308.15,101,2,1133.5,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,313.15,101,2,1130.5,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,318.15,101,2,1127.6,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,323.15,101,2,1124.6,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,328.15,101,2,1121.6,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,333.15,101,2,1118.6,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,338.15,101,2,1115.7,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,343.15,101,2,1112.8,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,348.15,101,2,1109.9,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
FDtEC,353.15,101,2,1107.2,Kazarina et al. (2023b),Density,Liquid,AApFFp,[Cl-].C[N+](CCOCCO)(CCO)C,dimethyl(2-hydroxyethyl)(2-(2-hydroxyethoxy)ethyl)ammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,
