setid,"Temperature, K","Pressure, kPa","MolaLity of hydrogen sulfide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kgARE,303.15,172.6,0.572,0.0001972,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,339.1,1.1415,0.000178,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,491.8,1.7153,0.0001633,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,691.5,2.5174,0.0001472,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,857,3.192,0.0001371,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,1016.5,3.857,0.0001282,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,1178.1,4.512,0.0001212,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,1368.5,5.449,0.0001129,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,303.15,1494.2,6.127,0.000108,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
kgARE,313.15,169.3,0.424,0.0002046,Jalili et al. (2017),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
