setid,"Temperature, K","MolaLity of 1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Yrama,288.15,0.0225,101,1079.5,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.0405,101,1081.9,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.0503,101,1083.3,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.0707,101,1085.8,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.0826,101,1087.4,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.0968,101,1089.2,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.1199,101,1092.2,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.1319,101,1093.7,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.1461,101,1095.6,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
Yrama,288.15,0.1582,101,1096.9,Liu et al. (2020d),Density,Liquid,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",AARQqy,COC(=O)OC,dimethyl carbonate,,,
