setid,"MolaLity of 1-methylimidazolium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ATtKc,0,101,298.15,997.05,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.05234,101,298.15,998.29,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.09548,101,298.15,999.3,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.14703,101,298.15,1000.49,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.19981,101,298.15,1001.69,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.24717,101,298.15,1002.77,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.30106,101,298.15,1003.97,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.3555,101,298.15,1005.18,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.3994,101,298.15,1006.13,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.45507,101,298.15,1007.35,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
ATtKc,0.51388,101,298.15,1008.62,Gardas et al. (2008a),Density,Liquid,AADYJk,O,water,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,,,
