setid,Mole fraction of aluminum bromide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OYyuI,0.35,101.3,298.15,1620,Vila et al. (2006b),Density,Liquid,AAzOMU,Br[Al](Br)Br,aluminum bromide,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,
OYyuI,0.6,101.3,298.15,1699,Vila et al. (2006b),Density,Liquid,AAzOMU,Br[Al](Br)Br,aluminum bromide,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,
