setid,"Temperature, K","Mole fraction of (3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Mole fraction of (3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qzbhc,283.6,0.049,0.049,101,0.0001509,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,283.6,0.473,0.473,101,0.0001529,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,293.6,0.042,0.042,101,0.0001526,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,293.6,0.485,0.485,101,0.0001561,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,303.6,0.037,0.037,101,0.0001535,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,303.6,0.49,0.49,101,0.0001594,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,313.7,0.034,0.034,101,0.0001551,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,313.7,0.492,0.492,101,0.0001624,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,325.4,0.031,0.031,101,0.0001557,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
qzbhc,325.4,0.491,0.491,101,0.0001659,Shiflett and Yokozeki (2008b),Density,Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,AAwYzw,F[C@@H]([C@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3S,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYNq,F[C@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
