setid,Solvent: Weight fraction of acetonitrile,"MolaLity of tetrabutylphosphonium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iopkv,0.25,0.0102,298.15,100,988.25,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.25,0.0152,298.15,100,988.87,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.25,0.0203,298.15,100,989.85,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.25,0.0254,298.15,100,991.04,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.25,0.0305,298.15,100,992.42,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.25,0.0356,298.15,100,993.99,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.5,0.0109,298.15,100,917.73,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.5,0.0164,298.15,100,918.19,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.5,0.0219,298.15,100,918.87,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
iopkv,0.5,0.0274,298.15,100,919.76,Ekka and Roy (2014),Density,Liquid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,AAOMat,C1COCO1,"1,3-dioxolane"
