setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PZMGc,288.15,0,93.2,893.7,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.0491,93.2,955,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.0954,93.2,1004,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.1563,93.2,1059.2,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.2006,93.2,1093.6,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.3018,93.2,1157.3,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.4,93.2,1206.7,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.5013,93.2,1246.9,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.6005,93.2,1279.6,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.6993,93.2,1306.4,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.8019,93.2,1330.3,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.9,93.2,1350.4,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,0.9486,93.2,1359.2,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,288.15,1,93.2,1367.7,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,293.15,0,93.2,888.3,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,293.15,0.0491,93.2,950,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
PZMGc,293.15,0.0954,93.2,999,Hoga et al. (2020),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AANtst,C1CCOC1,tetrahydrofuran,,,
