setid,"Temperature, K",Mole fraction of butylammonium formate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RuWFr,308.15,0,92.3,776.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.0484,92.3,799.3,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.1038,92.3,820.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.1507,92.3,836.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.2004,92.3,850.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.2564,92.3,865.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.2938,92.3,874,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.355,92.3,886.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.3886,92.3,893.3,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.4521,92.3,904.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.5005,92.3,912,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.5487,92.3,919,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.5982,92.3,925.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.6393,92.3,930.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.6993,92.3,937.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.749,92.3,943,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.7972,92.3,947.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.8487,92.3,952.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.8993,92.3,956.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,0.9444,92.3,960.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,308.15,1,92.3,965.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0,92.3,772,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
RuWFr,313.15,0.0484,92.3,795.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAIsrh,CCO,ethanol,,,
