setid,Mole fraction of tetraethylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kFcCA,0.0173,298.15,101,1000.2,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0173,308.15,101,996.7,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0173,318.15,101,992.3,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0403,298.15,101,1005.7,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0403,308.15,101,1001.1,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0403,318.15,101,996.5,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0403,328.15,101,990.9,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0403,338.15,101,982.8,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0403,348.15,101,971.4,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0403,358.15,101,953.1,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0727,298.15,101,1014.9,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
kFcCA,0.0727,308.15,101,1009.5,Pontes et al. (2017),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
