setid,Weight fraction of 1-butyl-3-methylimidazolium dicyanamide,Weight fraction of potassium ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PUFyV,0.071,0.5306,298.15,101,1288,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.071,0.5306,303.15,101,1284.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.071,0.5306,308.15,101,1281,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.071,0.5306,313.15,101,1277.5,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.071,0.5306,318.15,101,1274,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.071,0.5306,323.15,101,1270.7,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.087,0.5065,298.15,101,1272,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.087,0.5065,308.15,101,1265,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.087,0.5065,318.15,101,1259,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.087,0.5065,328.15,101,1252.2,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.764,0.078,298.15,101,1082.2,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.764,0.078,308.15,101,1075.5,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.764,0.078,318.15,101,1069.1,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.764,0.078,328.15,101,1063.8,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.843,0.0577,298.15,101,1081.7,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.843,0.0577,303.15,101,1078.3,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.843,0.0577,308.15,101,1074.9,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.843,0.0577,313.15,101,1071.5,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.843,0.0577,318.15,101,1068.2,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
PUFyV,0.843,0.0577,323.15,101,1064.8,Quental et al. (2015),Density,Liquid,AAStQw,CC(=O)[O-].[K+],potassium ethanoate,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide
