setid,"Mole fraction of N,N-diethylethanolammonium hydrogen dipropanoate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ICnbL,0.08,298.15,101,1142.4,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,303.15,101,1138.9,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,308.15,101,1135.5,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,313.15,101,1132.4,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,318.15,101,1128.7,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,323.15,101,1125.3,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,328.15,101,1122,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,333.15,101,1118.6,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,338.15,101,1115.6,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,343.15,101,1112,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,348.15,101,1108.7,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,353.15,101,1105.4,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,358.15,101,1102.2,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,363.15,101,1098.9,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,368.15,101,1095.7,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.08,373.15,101,1092.4,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,278.15,101,1139.8,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,283.15,101,1135.8,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,288.15,101,1132.1,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,293.15,101,1128.3,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,298.15,101,1124.5,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ICnbL,0.1549,303.15,101,1120.8,Martins et al. (2020),Density,Liquid,AAzBBi,CCC(=O)O.CCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dipropanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
