setid,"Temperature, K",Mole fraction of propan-2-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gLwlG,298.15,0,101.3,1371.9,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.0621,101.3,1362.6,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.0926,101.3,1357.8,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.1725,101.3,1343.9,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.2926,101.3,1319.1,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.38,101.3,1297,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.5107,101.3,1255.4,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.6078,101.3,1214.3,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.7028,101.3,1161.6,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.8064,101.3,1081,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.9052,101.3,964.8,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,0.9473,101.3,895.5,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,298.15,1,101.3,780.9,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0,101.3,1358.2,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.0621,101.3,1348.9,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.0926,101.3,1344,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.1725,101.3,1330.1,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.2926,101.3,1305.2,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.38,101.3,1283.1,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.5107,101.3,1241.3,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.6078,101.3,1200.1,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.7028,101.3,1147.4,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.8064,101.3,1066.8,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
gLwlG,313.15,0.9052,101.3,951,Gonzalez et al. (2012a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
