setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
thSKz,288.15,0.0164,84.5,1000.3,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.0259,84.5,1000.9,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.042,84.5,1002.1,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.0699,84.5,1004,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.1072,84.5,1006.5,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.1455,84.5,1009.1,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.3021,84.5,1019.3,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.4645,84.5,1029.2,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.6651,84.5,1040.6,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
thSKz,288.15,0.8671,84.5,1051.2,Noshadi and Sadeghi (2017a),Density,Liquid,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,AADYJk,O,water,,,
