setid,Mole fraction of heptane,Mole fraction of ethanol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NAgxb,0,0,100,298.15,1113,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0133,0.4678,100,298.15,1040.2,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0137,0.2447,100,298.15,1085.1,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0138,0.3563,100,298.15,1064.7,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0141,0.8336,100,298.15,1023.01,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0173,0.5831,100,298.15,1006.5,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0189,0.6314,100,298.15,990.3,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0223,0.6683,100,298.15,972.68,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0251,0.7238,100,298.15,947.303,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0267,0.7425,100,298.15,937.687,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.032,0.758,100,298.15,924.867,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0396,0.7714,100,298.15,914.753,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0439,0.7813,100,298.15,902.587,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0579,0.7907,100,298.15,884.94,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0678,0.8003,100,298.15,870.52,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0789,0.8043,100,298.15,859.827,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.0962,0.8062,100,298.15,837.96,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.1173,0.7981,100,298.15,824.15,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.1391,0.7889,100,298.15,809.867,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.1704,0.7725,100,298.15,792.497,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.1944,0.7561,100,298.15,782.117,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.238,0.7234,100,298.15,765.957,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.3295,0.6481,100,298.15,740.67,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.3668,0.6154,100,298.15,732.673,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.4699,0.5204,100,298.15,715.17,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.5644,0.4321,100,298.15,703.923,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.6218,0.3762,100,298.15,698.26,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
NAgxb,0.6996,0.2984,100,298.15,694.803,Bastos et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate
